DATAFLOW,REF_AREA,FREQ,SINIFLAMA_DUZEYI,DEGISIM,OZEL_KAPSAM_TUFE,BASE_PER,YAYIM_DONEMI,COICOP_1999,COICOP_2018,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,CONF_STATUS,TIME_FORMAT,UNIT_MULT,OBS_STATUS,DECIMALS
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-01,117.26,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-02,125.34,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-03,127.59,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-04,132.31,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-05,131.67,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-06,131.89,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-07,134.02,,,,,,
TR:DF_TUFE_SDMX_TT01(1.0),TR,M,2,1,_Z,2025,2026_01,_Z,01,F_TFE,2026-08,134.31,,,,,,
