epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1341.88,1.68217,2.25741,1.30119,0.93747,0.33333,0.33696,0.10068,2.07208,4.7022,1.14152,0.000990365,0.000990365,0.000990365
43,1379.08,1.2323,1.50577,0.97622,0,0,0,0,2.38116,5.87105,1.33652,0.000973861,0.000973861,0.000973861
44,1414.5,1.41001,3.00998,1.13758,0.01037,0.16667,0.0062,0.00156,2.60377,5.71002,1.33899,0.000957358,0.000957358,0.000957358
45,1448.44,1.78526,2.15765,1.41007,0.00859,0.33333,0.00647,0.00178,2.62408,5.58398,1.35203,0.000940855,0.000940855,0.000940855
46,1481.76,1.88792,2.49527,1.3612,0.00758,0.66667,0.02257,0.00741,2.43067,3.95267,1.27023,0.000924352,0.000924352,0.000924352
47,1517.83,1.85685,1.86083,1.37939,1,0.30832,0.34464,0.11213,2.19033,4.0638,1.23185,0.000907848,0.000907848,0.000907848
48,1553.31,1.67334,2.14646,1.08037,0.9627,0.33333,0.33877,0.14407,1.84135,6.11011,1.22243,0.000891345,0.000891345,0.000891345
49,1589.83,2.02128,2.81675,1.72718,0.95954,0.33333,0.33787,0.14352,1.84161,7.54044,1.30975,0.000874842,0.000874842,0.000874842
50,1627.95,1.62016,1.77066,1.39751,0.91377,0.33333,0.34072,0.23652,1.74605,5.86158,1.28519,0.000858338,0.000858338,0.000858338
51,1663.92,1.84287,1.63219,1.09061,0.95822,0.33333,0.34157,0.19678,1.6987,5.85543,1.27482,0.000841835,0.000841835,0.000841835
52,1699.66,2.31204,3.19205,1.82187,0.94764,0.33333,0.34082,0.19626,1.68201,5.73692,1.31292,0.000825332,0.000825332,0.000825332
53,1733.32,1.68797,2.44838,1.29847,0.9235,0.33333,0.34213,0.21398,1.64166,4.76788,1.19745,0.000808828,0.000808828,0.000808828
